tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
4033,Great,Alpine Beer Company,American Barleywine,14.00 %,2519,Absolution Angel_s Demise,Absolution Brewing Company,India Pale Ale &#40; IPA &#41;,7.20 %,0
3763,Bee Transfixed Honey Amber Ale,Salty Nut Brewery,American Amber / Red Ale,-,2983,Howe Sound Boomer_s Canadian Red Ale,Howe Sound Brewing,Amber Ale,5 %,0
2606,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 %,1320,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 %,1
386,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 %,2204,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 %,1
1792,Espionage Red,The Brewing Lair,American Amber / Red Ale,7.00 %,1783,Moosehead Boundary Ale,Moosehead Brewery,Amber Ale,5.30 %,0
4225,Gaz De Course,Broue Pub Brouhaha,American Barleywine,11.00 %,544,Acoustic Ales Mosh Pit Hoppy Red Ale,Acoustic Ales Brewing Experiment,Amber Ale,6.66 %,0
2467,Lisa,J Wells Brewery,American Amber / Red Ale,6.00 %,1171,Iron Springs Anne Marie_s Amber,Iron Springs Pub and Brewery,Amber Ale,7 %,0
221,McNeill 's Firehouse Amber Ale,McNeill 's Brewery,American Amber / Red Ale,5.60 %,1741,Free State The Vortex Red,Free State Brewing Company,Amber Ale,6.10 %,0
3120,Off The Leash,Noble Rey Brewing Company,American Amber / Red Ale,6.00 %,1414,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,American Strong Ale,8.50 %,0
2871,Rambler Amber,New Terrain Brewing Co,American Amber / Red Ale,6.20 %,1153,Short_s Proverbial Mind Spread,Short_s Brewing Company,Amber Ale,6.60 %,0
1485,Buck It,Black Donkey Brewing Ltd,American Amber / Red Ale,4.80 %,2234,Stilt House Weekender Amber Ale,Stilt House Brewery,Amber Ale,5.70 %,0
2034,Colleen 's Amber Ale,Hog _ ™ s Head Brewing Company,American Amber / Red Ale,5.00 %,1687,Lighthouse Race Rocks Ale,Lighthouse Brewing &#40; Canada &#41;,Amber Ale,5.20 %,0
2006,Ezra Red Ale,Bandwagon Brew Pub,American Amber / Red Ale,-,2131,American Fall Harvest Sour Ale,American Brewing Company,Sour Red/Brown,6.80 %,0
2081,Fly Trap,Oakland Brewing Company,American Amber / Red Ale,6.10 %,2482,Side Project Anabasis,Perennial Artisan Ales,Barley Wine,14 %,0
3573,De Vie,La Franche ( BiÃ ¨ re artisanale de Franche ComtÃ © ),American Amber / Red Ale,-,1207,Hoppy Ruby Slipper Ale,Hoppy Brewing Company,Amber Ale,7.10 %,0
2089,Single Hop # 3 Amber Ale W / Citra,Three Palms Brewing Co. .,American Amber / Red Ale,6.80 %,1428,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Strong Ale,13 %,0
1580,Big Island Ginger Beer,Kona Brewing Co. .,American Amber / Red Ale,5.00 %,1832,3 Sheeps Autumnal Hoppiness Harvest Ale,3 Sheeps Brewing Company,American Strong Ale,7.20 %,0
1358,501 Red Ale,Sweet Mullets Brewing Co. .,American Amber / Red Ale,5.50 %,277,Alaskan Taku River Red,Alaskan Brewing Company,Amber Ale,-,0
1994,Sister Bad Habit,Asheville Brewing Company,American Amber / Red Ale,5.60 %,2424,Revolution Barrel Aged Institutionalized Barley Wine,Revolution Brewing Company,Barley Wine,13 %,0
3928,Liar 's Moon,Triple Rock Brewery & Alehouse,American Amber / Red Ale,4.80 %,536,Rock Bottom Ahwatukee Raptor Red,Rock Bottom Ahwatukee,Irish Ale,5.40 %,0
4191,Killdozer 12 Point Buck,Burnt Hickory Brewery,American Barleywine,13.00 %,744,Bootjesbier,Antwerpse Brouw Compagnie,Amber Ale,7 %,0
2206,Magnifica,Birra dell ` Eremo,American Amber / Red Ale,5.50 %,716,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
1456,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,409,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 %,1
3672,Copperhead,Gate City Brewing Co. .,American Amber / Red Ale,5.20 %,2998,75th Street Hoppopotamus,75th Street Brewery,American Pale Ale,-,0
2018,Vizir Lucky Luke Sexy Ale,Pivovarna in Vinska klet Vizir,American Amber / Red Ale,4.00 %,1894,Ironworks Tanglefoot Red,Ironworks Brewery and Pub,Amber Ale,7.20 %,0
2577,Daybreak,Our Brewing Co. .,American Amber / Red Ale,7.30 %,1946,At Large Alibi Amber,At Large Brewing,Amber Ale,6.30 %,0
1857,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 %,787,Blue Owl Van Dayum &#033; Sour Red Ale,Blue Owl Brewing,Sour Red/Brown,6.10 %,0
2656,Reddish American Red Ale,CervecerÃa Robeerto,American Amber / Red Ale,5.14 %,1738,Ruosniemen Pikkupomo,Ruosniemen panimo,American Pale Ale,6 %,0
3385,Wet Hop Prohibition,Speakeasy Ales & Lagers,American Amber / Red Ale,6.10 %,2450,Albuquerque The Dukes Pale Ale,Albuquerque Brewing Company,American Pale Ale,6 %,0
276,McNeill 's Ruby Ale,McNeill 's Brewery,American Amber / Red Ale,5.70 %,2990,Brew Wharf Fire From The Top Of A Monkeys Head,Brew Wharf,Amber Ale,5.30 %,0
3552,Flamboyant 2014,Arbor Brewing Company,American Amber / Red Ale,-,2018,Hidden Springs Ginger Mullet,Hidden Springs Ale Works,Amber Ale,6.50 %,0
449,Angel Creek Amber Ale,Ruby Mountain Brewing,American Amber / Red Ale,5.00 %,0,Great Lakes Nosferatu,Great Lakes Brewing &#40; Ohio &#41;,American Strong Ale,8 %,0
649,Auburn,The Able Ebenezer Brewing Company,American Amber / Red Ale,4.50 %,2079,Backroom Holiday Market Ale - Rosemary & Orange Zest,Backroom Brewery,Spice/Herb/Vegetable,6 %,0
2278,Hurluberlue,Microbrasserie Aux Fous Brassant,American Amber / Red Ale,5.00 %,561,Lakemaid Frosty Winter Lager,Stevens Point Brewery,Premium Lager,-,0
4145,SÃ © rie Signature Barleywine AmÃ © ricain,Les Trois Mousquetaires,American Barleywine,11.70 %,872,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-,0
3079,Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,2542,Acadian Farms India Red Ale &#40; IRA &#41;,Acadian Farms & Brewery,India Pale Ale &#40; IPA &#41;,6.90 %,0
2653,Belgian Kronik,Lagunitas Brewing Company,American Amber / Red Ale,-,2848,Water Street Amber,Water Street Brewery,Amber Ale,5 %,0
2271,North 40 WBA,Storz Trophy Room Grill & Brewery,American Amber / Red Ale,5.70 %,1640,7venth Sun / Red Light Red Light Let_s Go Halvsies,7venth Sun Brewery,Berliner Weisse,4 %,0
1553,Rapscallion Acton Ale,Rapscallion,American Amber / Red Ale,4.60 %,1663,Marthas Will_s Fault Wicked Good Beah,Marthas Exchange Restaurant and Brewing,Premium Bitter/ESB,5.30 %,0
2976,Aggie Amber Ale,De La Vega 's Pecan Grill & Brewery,American Amber / Red Ale,5.20 %,484,Bare Bones Tiber River Red,Bare Bones Grill & Brewery,Amber Ale,5.25 %,0
1751,Diable,La Diable,American Amber / Red Ale,4.00 %,2883,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,0
3599,La Maplehurst,Microbrasserie Coaticook,American Amber / Red Ale,-,1496,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,0
3014,Burley Beaver,Tree Brewing Beer Intitute,American Amber / Red Ale,7.50 %,2104,Benelux Semuta,Benelux Brasserie Artisanale,Saison,6 %,0
674,Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,-,2234,Stilt House Weekender Amber Ale,Stilt House Brewery,Amber Ale,5.70 %,0
385,Flambeau Red,New Orleans Lager & Ale Brewing Company ( NOLA ),American Amber / Red Ale,5.70 %,1481,Pitchers Sunset Amber,Pitchers Brewery & Sports Shack,Amber Ale,5.50 %,0
959,Grass Fed Red,Cigar City Brewing,American Amber / Red Ale,6.00 %,1958,Appalachian Mountain Honey Badger Blonde,Appalachian Mountain Brewery,Golden Ale/Blond Ale,4.70 %,0
1905,Atomic Amber : Honey Hypothesis,Empirical Brewery,American Amber / Red Ale,6.80 %,799,Sisyphus Hoppy Amber,Sisyphus Brewing,Amber Ale,6.20 %,0
293,Arbor Brewing Red Snapper Special Bitter,Arbor Brewing Company,American Amber / Red Ale,4.90 %,186,Twelve Bar Brews Turnaround Northwest Red Ale,Twelve Bar Brews,Amber Ale,5.70 %,0
1690,Suzi 's Red Belly Ale,Bugnutty Brewing Company,American Amber / Red Ale,-,158,Sockeye Angels Perch Amber,Sockeye Brewing,Amber Ale,4.50 %,0
332,Rocco Red Ale,Bootlegger 's Brewery,American Amber / Red Ale,7.10 %,379,Sycamore Salty Coconut Red Ale,Sycamore Brewing,Amber Ale,6.50 %,0
3805,Du Parc,Helm,American Amber / Red Ale,-,1501,BullDog American Bully Amber,BullDog Brewery,Amber Ale,5 %,0
1527,Big Ass Red,The Lab Brewing Co. .,American Amber / Red Ale,6.20 %,1541,Iechyd Da Brass Band Golden Ale,Iechyd Da Brewing Company,Golden Ale/Blond Ale,5.70 %,0
1864,Dorothy Goodbody 's Country Ale,Wye Valley Brewery,American Amber / Red Ale,6.00 %,1024,Caleya Mayuca Amber,Cerveza Caleya,Amber Ale,5.70 %,0
3758,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,2120,Bendorf Neudorf Red Ale,Bendorf,Irish Ale,6 %,1
1705,Saranac Season 's Best Amber Beer,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,-,614,SanTan 12 Daze Caramel Spiced Amber,SanTan Brewing Company,Spice/Herb/Vegetable,6.50 %,0
1667,Rotation Red Ale,Rat Hole BrewPub,American Amber / Red Ale,7.70 %,169,Fair Winds Running Light Red,Fair Winds Brewing Company,Belgian Ale,6 %,0
2319,Tst Brw 01 - Imperial Red Ale,Brouwerij De Koninck NV,American Amber / Red Ale,7.80 %,12,Red Duck Amber Ale,Purrumbete Brewing,Amber Ale,4.80 %,0
42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %,2026,1516 Dark Wheat Ale,1516 Brewing Company,Wheat Ale,-,0
3244,Lil Orphan Amber,JDub 's Brewing Company,American Amber / Red Ale,4.50 %,710,Kirishima Kirinokura Amber,Kirishima Shuzo Kirinokura Brewery,Amber Ale,5 %,0
3939,Cold Water Amber,Cold Water Brewery & Grill,American Amber / Red Ale,6.00 %,2179,Sesma La Petra Tostada,Sesma Brewing,Amber Ale,5 %,0
1879,Red Eye,North Fork Brewing,American Amber / Red Ale,-,1017,Blue Monkey Monkey Wrench,Blue Monkey,Golden Ale/Blond Ale,4.60 %,0
114,River Horse Special Ale,River Horse Brewing Co. .,American Amber / Red Ale,4.50 %,1209,13 Virtues Saisonnalisa,13 Virtues Brewing Company,Saison,4.80 %,0
1432,Antler Ale,Okanagan Spring Brewery,American Amber / Red Ale,-,572,Laurelwood Fresh Hop Free Range Red &#40; Amarillo &#41;,Laurelwood Public House & Brewery,Amber Ale,6.10 %,0
343,Common Ground,The Fort Collins Brewery,American Amber / Red Ale,5.60 %,2669,Boulevard Tenpenny Ale,Boulevard Brewing Company &#40; Duvel-Moortgat &#41;,Bitter,3.30 %,0
1602,Riverside Red,Old Mill Brewery & Grill,American Amber / Red Ale,-,1666,ManRock Fear The Reaper Amber,ManRock Brewing Company,Amber Ale,6.10 %,0
254,McCarthy 's Bane,Knee Deep Brewing Company,American Amber / Red Ale,8.00 %,2626,Costa Rica_s Segua Red Ale,Costa Rica_s Craft Brewing Co. .,Irish Ale,5 %,0
190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,571,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,0
385,Flambeau Red,New Orleans Lager & Ale Brewing Company ( NOLA ),American Amber / Red Ale,5.70 %,2841,Blue Moon Rising Moon Spring Ale,Coors Brewing Company &#40; MillerCoors &#41;,Wheat Ale,5.60 %,0
4119,Olde Scoutter 's Barleywine,Bear Republic Brewing Co. .,American Barleywine,10.40 %,2341,Town Hall Twisted Trace,Minneapolis Town Hall Brewery,Barley Wine,10.90 %,0
3787,Local 117,The Root Cellar / London Brewing Co-op,American Amber / Red Ale,3.90 %,795,Basqueland Arraun Amber Ale,Mateo & BernabÃ ©,Amber Ale,5 %,0
3308,Lake Effect Aged Red,Lake Effect Brewing Co. .,American Amber / Red Ale,8.00 %,233,Pisgah Ryan_s Red Ale,Pisgah Brewing Company,Irish Ale,5 %,0
2558,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,1284,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,1
988,MacKenzie River Driftboat Amber,Blackfoot River Brewing Company,American Amber / Red Ale,5.50 %,1355,Sixpoint Global Warmer,Sixpoint Brewery,Amber Ale,7 %,0
3818,Alpine Mountain Amber Ale,Beer By Design,American Amber / Red Ale,5.90 %,187,Wicked Weed Wicked Tea Party,Wicked Weed Brewing,Amber Ale,4.80 %,0
1854,SBA,Prohibition Brewing Company,American Amber / Red Ale,6.00 %,367,River Horse Burnt Sugar Ale,River Horse Brewing Company,American Pale Ale,-,0
4088,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 %,2808,Isotopes Slammin Amber,Sierra Blanca Brewing Co,Amber Ale,-,0
4003,Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 %,2284,Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,5.44 %,1
1032,Roll Cage Red,Motorworks Brewing,American Amber / Red Ale,6.50 %,817,Acoustic Ales Rock Out With Your Vienna Out,Acoustic Ales Brewing Experiment,Amber Lager/Vienna,6 %,0
3068,Conor Larkin 's Amber,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,-,980,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,0
590,O.B. Chronic,Pizza Port Solana Beach,American Amber / Red Ale,4.70 %,2645,Eastern Shore St. Michaels Ale,Eastern Shore Brewing,Amber Ale,5 %,0
2163,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,985,I & I Bitter Orange Blossom,I & I Brewing,Amber Ale,5.30 %,1
213,Odin 's Gift,Odin Brewing Company,American Amber / Red Ale,5.40 %,1846,Cottage Delight Metrognome,Staffordshire &#40; prev Leek &#41;,Premium Bitter/ESB,4.50 %,0
1235,Cardiff Chronic,Pizza Port Solana Beach,American Amber / Red Ale,-,509,Newmans Continental Drift Red Rye IPA,Celt Experience,India Pale Ale &#40; IPA &#41;,5.90 %,0
2051,Fire Roasted Amber,Wynkoop Brewing Company,American Amber / Red Ale,5.20 %,2700,Block 15 Hellion,Block 15 Brewery,Belgian Strong Ale,12.50 %,0
3528,ChlumeckÃ 1/2 Amber Ale,Brewery Lobkowicz,American Amber / Red Ale,4.90 %,2534,Laurelwood Bourbon Barrel Olde Reliable,Laurelwood Public House & Brewery,Barley Wine,-,0
3114,Red Dawn,Blackstone Restaurant & Brewery,American Amber / Red Ale,5.40 %,1509,Great Lakes Independence Ale,Great Lakes Brewing &#40; Ohio &#41;,Amber Ale,6 %,0
1815,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.90 %,2056,Angry Chair First In A Flight,Angry Chair Brewing,Imperial IPA,9 %,0
4131,Trainwreck Organic Barleywine Style Ale,Butte Creek Brewing Company,American Barleywine,10.60 %,1034,Heartly Amber Ale Lucky Rhino,Heartly Craft Brewery,Amber Ale,5.50 %,0
1603,Swan Lake Amber Ale,Hyouko Yashiki No Mori Brewery,American Amber / Red Ale,5.00 %,414,Eight Bridges Twisted Red,Eight Bridges Brewing,Amber Ale,7 %,0
4187,Roza Reserve,Snipes Mountain Microbrewery & Restaurant,American Barleywine,9.20 %,333,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
1156,Basil,Beaver Brewing Company,American Amber / Red Ale,5.00 %,1548,Bitter Creek Red Desert Ale,Bitter Creek Brewing Company,Amber Ale,-,0
3280,A-HOAP Nitro Beluga,Pinthouse Pizza Craft Brewpub,American Amber / Red Ale,5.80 %,2011,Bellarine The Heads Ale,Bellarine Brewing Company,Irish Ale,5.20 %,0
2507,Scraps,Birdsview Brewing Company,American Amber / Red Ale,-,2623,Squatters Emigration Amber Ale,Squatters Craft Beers,Amber Ale,4 %,0
413,Extra Red,Ritual Brewing Co. .,American Amber / Red Ale,6.50 %,2953,Intracoastal This is Americ_Ale _,Intracoastal Brewing Company,American Pale Ale,5 %,0
2181,Goliath,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,5.20 %,1490,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,Brown Ale,6 %,0
2856,Y. Market Craft Heart Red,Y. Market Brewing,American Amber / Red Ale,5.50 %,114,Adirondack Bobcat Blonde Lager,Adirondack Pub and Brewery,Golden Ale/Blond Ale,3.80 %,0
688,Gypsy Red,Crooked Ladder Brewing Company,American Amber / Red Ale,5.00 %,2623,Squatters Emigration Amber Ale,Squatters Craft Beers,Amber Ale,4 %,0
3100,Loki 's Folly,Sidhe Brewing Company,American Amber / Red Ale,6.50 %,2275,Maldita Old Continent American Amber Ale,Faustino Microcervejeira,Amber Ale,6 %,0
1145,Big & Tall # 2,Blue Pants Brewery,American Amber / Red Ale,8.80 %,386,Moxies Big Life Amber Ale,Big Rock Brewery,Amber Ale,5 %,0
360,Moon Gun,DuClaw Brewing Company,American Amber / Red Ale,5.00 %,485,Nail Beazle Brew,Nail Brewing Australia,Amber Ale,5 %,0
1590,Semper Fi,Firehouse Brewing Co. .,American Amber / Red Ale,6.00 %,571,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,0
3254,Gallows Hill Amber Ale,Two Rivers Brewing Company,American Amber / Red Ale,5.30 %,1913,Ass Clown Salted Ginger Black Sour,Ass Clown Brewing Company,Sour/Wild Ale,7.10 %,0
747,Red Barchetta,Green Man Brewery,American Amber / Red Ale,7.10 %,251,75th Street Red Eye Rye,75th Street Brewery,Specialty Grain,5.50 %,0
807,AMPLIFIED Amber Ale,Great Rhythm Brewing Company,American Amber / Red Ale,5.00 %,667,Akishika Junmai Gingo Namazake,Akishika Shuzo,SakÃ © - NamasakÃ ©,15.50 %,0
466,Steep Trail Amber Ale,Black Diamond Brewing Co. .,American Amber / Red Ale,5.70 %,1375,Wavelength Redshift Red Ale,Wavelength Brewing Company,Amber Ale,7 %,0
418,Strada S. Felice,Grado Plato,American Amber / Red Ale,8.00 %,81,Big Bear Grizzly Red Ale,Big Bear Brewing Company,Amber Ale,5.80 %,0
1052,Kettle Valley Amber Ale,The Tin Whistle Brewing Company,American Amber / Red Ale,5.00 %,1553,Fountain City Prairie Moon Red,Grays Brewing Company,Amber Ale,-,0
4,TrÃ ¶ egs Hopback Amber Ale,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,6.00 %,2498,Crabtree Woody B. Barley Wine Ale,Crabtree Brewing Company,Barley Wine,12 %,0
3710,Road Trip,Nomad Brewing Company,American Amber / Red Ale,4.80 %,971,Full Sail Nugget Special Red Ale,Full Sail Brewing Company,Amber Ale,6.50 %,0
271,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,1410,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,1
3821,Amarillo Amber,Eastwood Brewing Co. .,American Amber / Red Ale,6.50 %,977,Barley Macca Meda,Birrificio Barley,Amber Ale,7.80 %,0
982,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,2999,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,1
2347,Skunk Train Red Ale,Track 7 Brewing Co. .,American Amber / Red Ale,5.70 %,1269,White Gypsy Emerald Irish Pale Ale,White Gypsy &#40; Shelta Beer Co &#41;,Golden Ale/Blond Ale,5 %,0
784,Ambler,Phantom Carriage,American Amber / Red Ale,4.70 %,1580,Camino del Sol Cerveza Artesanal Red Llama Ale,Camino del Sol Cerveza Artesanal,Amber Ale,5.30 %,0
1474,Revenuers Red Ale,Catawba Brewing Co. .,American Amber / Red Ale,5.20 %,427,Catawba Valley Revenuers Red Ale,Catawba Valley Brewing Company,Irish Ale,5.20 %,1
1029,Paddle Wheeler,Persimmon Hollow Brewing,American Amber / Red Ale,5.60 %,2825,Alameda Rose City Red,Alameda Brewing Co. .,Amber Ale,6.40 %,0
3769,Rochelle Rochelle,Triple Crossing Brewing,American Amber / Red Ale,5.60 %,2030,Bressene,Brasserie Grain d_Orge,Belgian Strong Ale,8 %,0
3689,Americain Amber Ale,Microbrasserie l _ ™ Hermite,American Amber / Red Ale,5.50 %,1568,Redfish Wildfire Smoked Porter,Redfish New Orleans Brewhouse,Smoked,5.60 %,0
3908,Galarneau,Gambrinus,American Amber / Red Ale,5.00 %,1405,Black Sky Daywalker,Black Sky Brewery,Imperial IPA,7.50 %,0
609,Redhawk Ale,Rockyard Brewing,American Amber / Red Ale,5.00 %,2575,Fish Tale Vicious Circle Amber Ale,Fish Brewing Company/Leavenworth Beers,Amber Ale,5 %,0
1480,Jazzfest Sugarcane And Pecan Ale,Three Notch 'd Brewing Company,American Amber / Red Ale,5.00 %,1902,Dead Frog Winter Seasonal Amber Ale,Dead Frog Brewery,Amber Ale,5 %,0
1701,Dirty Amber Ale,Dirty Bucket Brewing Co. .,American Amber / Red Ale,6.00 %,896,10 Barrel Big Black Stout,10 Barrel Brewing &#40; AB InBev &#41;,Sweet Stout,6.20 %,0
926,Agate Pass Amber,Hood Canal Brewing,American Amber / Red Ale,-,103,Lilys Reggies French River Red Ale,Lilys Seafood Restaurant & Brewery,Amber Ale,5.80 %,0
3389,Big Red Oak,Deschutes Brewery,American Amber / Red Ale,8.60 %,2150,Hop Haus Wildcat Amber,Hop Haus Brewing Company,Amber Ale,5.30 %,0
3240,Oakley 's Amber,Elk Street Brewery & Tap Room,American Amber / Red Ale,4.60 %,505,King Street Amber,King Street Brewing Company,Amber Ale,5.10 %,0
563,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,1177,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1
646,Oak Aged Imperial Red ( Venture Series ),Madhouse Brewing Company,American Amber / Red Ale,8.50 %,2103,Manor Hill Stone Bridge Amber,Manor Hill Brewing,Amber Ale,7.50 %,0
3640,M_S RVR Red,BarkEater Craft Brewery,American Amber / Red Ale,6.25 %,2007,Avery Barrel-Aged Series 19 - Rufus Corvus,Avery Brewing Company,Sour/Wild Ale,6.83 %,0
57,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.50 %,1664,Snake River Danimal_s Farmhouse Saison,Snake River Brewing Co. .,Saison,7 %,0
3983,Tostada,Cerveza Milana,American Amber / Red Ale,5.40 %,1871,Naked City Scarlet Street,Naked City Brewing,American Strong Ale,-,0
3906,Sandalwood Ale,Chorlton Brewing Company,American Amber / Red Ale,6.70 %,2551,Baeltane Farmer_s Flock,Baeltane Brewing,Saison,5.10 %,0
4112,Critical Hit,Ninkasi Brewing Company,American Barleywine,11.70 %,2812,Railway City Iron Spike Amber Ale,Railway City Brewing Company,Amber Ale,4.60 %,0
4030,Alaskan Barley Wine ( Pilot Series ),Alaskan Brewing Co. .,American Barleywine,10.70 %,140,Alexander Keiths Red &#40; Amber Ale &#41;,Oland Brewery &#40; AB-InBev &#41;,Amber Ale,5 %,0
3429,Aurora,Geltsdale Brewery,American Amber / Red Ale,3.90 %,2271,Brocklebank The Drunkards _ Reunion,Brocklebank Craft Brewing,Wheat Ale,-,0
2596,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,1305,Goat Ridge New London Amber Ale,Goat Ridge Brewing Company,Amber Ale,5.20 %,0
3093,BiÃ ¨ re Du Moulin Ambrata,Amarcord Birra Artigianale Italiana,American Amber / Red Ale,6.50 %,78,Echo Indian Red Ale,Echo Brewing Company,Irish Ale,-,0
2619,It 's Spelt Centennial,Bosque Brewing Co. .,American Amber / Red Ale,5.70 %,1462,40 Arpent Red Beans & Rice Ale,40 Arpent Brewing Company,Amber Ale,-,0
3653,Clifton Hill Dark Ale,Clifton Hill Brew Pub,American Amber / Red Ale,4.50 %,1422,Squatters Big Cottonwood,Squatters Craft Beers,Amber Ale,5.75 %,0
4195,Old Musty Barleywine,C.H. Evans Brewing Company,American Barleywine,9.50 %,2791,Trouble Brewing Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,4.70 %,0
3751,Red Galaxy Ale,Yaletown Brewing Co. .,American Amber / Red Ale,5.00 %,1090,Below Grade Super Duty Double Red Ale,Below Grade Brewing LLC,American Strong Ale,7.70 %,0
189,Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %,22,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,8.50 %,0
3287,Kyoto Craft Hanamachi Amber Ale,Matsuya Kyoto Machiya Beer Brewery,American Amber / Red Ale,5.00 %,2861,18th Street Alpha Company,18th Street Brewery,Saison,8.50 %,0
3153,Indefinite Noises,The Courtyard Brewery,American Amber / Red Ale,6.20 %,2976,Central Waters Ouisconsing Red Ale,Central Waters Brewing Co. .,Amber Ale,5 %,0
802,Golden Nugget,The Defiant Brewing Company,American Amber / Red Ale,5.20 %,2275,Maldita Old Continent American Amber Ale,Faustino Microcervejeira,Amber Ale,6 %,0
3402,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,2491,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Hangar 24 Craft Brewery,Barley Wine,13.90 %,0
3323,NW Amber Ale,Airways Brewing Company,American Amber / Red Ale,5.10 %,851,Padre Island Tailing Red Amber,Padre Island Brewing Company,Amber Ale,-,0
2764,Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,1423,Willimantic Riverfest Red Ale,Willimantic Brewing Company,Amber Ale,5.20 %,1
402,Winter Cheer Ale,Spanish Peaks Brewing Co. .,American Amber / Red Ale,6.30 %,102,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery,Amber Ale,5 %,0
3940,Harvest Amber,Levante Brewing Company,American Amber / Red Ale,5.50 %,1405,Black Sky Daywalker,Black Sky Brewery,Imperial IPA,7.50 %,0
418,Strada S. Felice,Grado Plato,American Amber / Red Ale,8.00 %,2441,Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,8 %,1
549,Red Brick Ale,A1A Aleworks,American Amber / Red Ale,5.42 %,444,Fat Head_s Zest For Breasts,Fat Head_s Brewery & Saloon,Wheat Ale,5 %,0
817,Riverside Red Ale,Intuition Ale Works,American Amber / Red Ale,7.00 %,1721,3 Freaks Freaks Amber,3 Freaks Brewery,Amber Ale,7.80 %,0
